#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 04 18 16 50 280  3.0  4.0   0.8     8   5.2 153 1022.1  22.6  23.1  19.0   MM +0.5    MM
2017 04 18 15 50 280  4.0  4.0   0.7     8   4.9 127 1022.3  22.4  22.9  18.9   MM +0.8    MM
2017 04 18 14 50 280  4.0  5.0   0.8    10   5.0 121 1022.0  22.3  22.7  19.1   MM +0.9    MM
2017 04 18 13 50 270  4.0  5.0   0.8     8   4.7 125 1021.6  22.4  22.5  19.0   MM +1.2    MM
2017 04 18 12 50 270  5.0  6.0   0.9    10   4.6 122 1021.5  22.4  22.4  19.2   MM +2.1    MM
2017 04 18 11 50 270  3.0  4.0   0.9     8   5.0 127 1021.1  22.5  22.1  20.5   MM +1.8    MM
2017 04 18 10 50 270  3.0  4.0   0.9     8   5.0 151 1020.4  22.5  22.0  20.5   MM +1.4    MM
2017 04 18 09 50 210  5.0  5.0   0.8     8   4.8 124 1019.4  22.7  22.2  19.8   MM +0.4    MM
2017 04 18 08 50 220  5.0  5.0   0.9     9   4.7 136 1019.3  22.8  22.3  19.5   MM +0.4    MM
2017 04 18 07 50 220  5.0  5.0   0.9     8   4.8 135 1019.0  23.0  22.5  19.1   MM +0.0    MM
2017 04 18 06 50 220  5.0  6.0   0.8     8   4.4 131 1019.0  23.0  22.7  18.2   MM +0.0    MM
2017 04 18 05 50 200  6.0  7.0   0.9     8   4.5 145 1018.9  22.9  22.8  18.5   MM -0.3    MM
2017 04 18 04 50 200  6.0  8.0   0.9     8   4.4 140 1018.9  22.9  22.9  17.7   MM -0.3    MM
2017 04 18 03 50 210  7.0  8.0   0.9     9   4.5 141 1019.1  22.8  23.0  17.6   MM +0.3    MM
2017 04 18 02 50 210  7.0  8.0   0.9     8   4.5 121 1019.2  23.0  23.2  16.4   MM +1.3    MM
2017 04 18 01 50 200  6.0  7.0   0.9     9   4.5 136 1019.2  23.0  23.3  16.8   MM +1.3    MM
